agentType,gamemode,score,deepestRoom,finalHP,performance,seed
random,e,-168,3,-8,14,7867807266633029403
random,e,-125,8,0,29,7590136942179807843
random,e,-110,8,-4,35,3583983331894120469
random,e,-94,9,-6,41,4605278987228245039
random,e,-188,1,-2,7,2104522927968651660
random,e,-174,4,-3,12,129952681525693105
random,e,-179,1,-2,10,5100559414972097780
random,e,-188,1,0,7,503107013846398384
random,e,-188,2,0,7,6551550916447766297
random,e,-140,5,-11,24,6808875140149956745
random,e,-188,1,-5,7,5963146514985720645
random,e,-184,2,-2,8,6437723993304439633
random,e,-177,2,0,11,8528704733580956276
random,e,-183,2,0,8,7781530580418459999
random,e,-147,6,-7,21,2932645521074985561
random,e,-153,6,-5,19,2425494409191974512
random,e,-143,7,-2,23,3326219417103105088
random,e,-183,2,-4,8,6566898213002135190
random,e,-171,2,-5,13,2208784429928428813
random,e,-163,3,-4,16,6391335150638979304
random,e,-152,3,-3,20,5012894923767739446
random,e,-148,6,-7,21,5729817905828475446
random,e,-134,6,-3,26,268336772310584460
random,e,-121,11,-9,31,8762142316801882623
random,e,-150,5,-7,20,2189848055269377767
random,e,-179,2,-5,10,4256396869616037419
random,e,-73,12,-2,48,9029683872058101481
random,e,-168,2,-3,14,4894345657669809244
random,e,-169,3,-2,14,8479097371147434999
random,e,-139,6,-13,24,194373939862621282
random,e,-167,3,0,14,4594799017421263522
random,e,-158,4,-8,17,1501985214037494490
random,e,-185,2,-3,8,1000230131998724997
random,e,-188,1,-8,7,1777552627982487413
random,e,-142,6,-6,23,3002415838946176712
random,e,-170,5,-9,13,8975341689292772941
random,e,-91,10,-1,42,6996650455145801179
random,e,-188,1,-5,7,2212466061918455957
random,e,-188,1,0,7,5992089028387421453
random,e,-188,1,-5,7,2784365069369190678
random,e,-168,2,-1,14,6796380304070568767
random,e,-158,3,-2,17,5297112013306383259
random,e,-147,3,0,21,3593891746481322525
random,e,-176,3,0,11,5639280049325634690
random,e,-170,2,-6,13,325957247330752693
random,e,-169,2,-5,14,385782873631069170
random,e,-82,11,-3,45,630154487158782492
random,e,-188,1,0,7,5552178077168326102
random,e,-170,3,-4,13,6885032668869688552
random,e,-142,9,-5,23,1558911546839133843
random,e,-180,2,-6,10,7818087673264062052
random,e,-59,11,-8,53,2004986583710482636
random,e,-174,3,-1,12,4391898072386232848
random,e,-179,2,-9,10,1866469859858159304
random,e,-166,5,-9,15,1054530471356203071
random,e,-136,7,-5,25,9155401541863793388
random,e,-170,2,-4,13,3807845342910758372
random,e,-188,1,0,7,5989736652705345083
random,e,-166,5,-3,15,2136710773918589341
random,e,-127,6,-3,29,3117018965877205394
random,e,-149,4,-1,21,4172532733080844363
random,e,-183,2,-1,8,7780911751784715342
random,e,-188,1,-3,7,886824252790021945
random,e,-118,6,-5,32,4944003329830501064
random,e,-166,4,-8,15,208297412891544222
random,e,-144,6,-5,23,3935972967396137672
random,e,-158,5,0,17,7996449312543215316
random,e,-173,2,-6,12,7281347641567381042
random,e,-166,3,-2,15,7599330263689320864
random,e,-188,1,-6,7,3694599461529170667
random,e,-174,4,-1,12,8904503782783538887
random,e,-166,3,-1,15,7600499662490433124
random,e,-168,3,-9,14,7821019937730328482
random,e,-164,3,-1,15,2410421637934018267
random,e,-171,3,-5,13,6436590309489407363
random,e,-171,4,-1,13,9182682840807114383
random,e,-176,3,-5,11,2301257974004314935
random,e,-169,4,-4,14,2034800183638391379
random,e,-173,3,-12,12,4368215286784186797
random,e,-151,5,-3,20,3001022060266546884
random,e,-154,5,-1,19,1378418773208987904
random,e,-173,2,-3,12,6016802287933669199
random,e,-162,3,-5,16,8968387725669131403
random,e,-188,1,-9,7,2755412338768945619
random,e,-124,11,-6,30,8160084853438265144
random,e,-170,2,-4,13,4533414389386457988
random,e,-173,3,-3,12,2949479732439658026
random,e,-158,3,-5,17,3284725070483916753
random,e,-181,1,-1,9,9036695356952448827
random,e,-168,2,0,14,6223376783229215465
random,e,-155,4,-7,19,2777520230617093832
random,e,-166,4,-8,15,5233490273290566840
random,e,-179,2,-9,10,2137514320638191659
random,e,-136,6,0,25,2619344251902658811
random,e,-92,10,-2,41,8645089618453751236
random,e,-164,5,-4,15,460289626213404247
random,e,-128,5,-2,28,6144777792900125476
random,e,-182,3,0,9,2257918995970149158
random,e,-169,5,-2,14,3224892947080268185
random,e,-176,3,-7,11,7917858688981397421
random,e,-153,3,-7,19,4309419926038000133
random,e,-165,4,-10,15,3639194463664824580
random,e,-146,4,-11,22,4408602755862123160
random,e,-181,1,-2,9,9014307113645167597
random,e,-182,1,-4,9,7191799417156720704
random,e,-171,4,-7,13,545732895943318215
random,e,-188,1,-4,7,8739894071945087241
random,e,-169,3,-1,14,2870828979836761835
random,e,-176,2,-8,11,6574684473057124380
random,e,-185,3,-7,8,5604389900874106646
random,e,-127,9,-1,29,3121495833454926712
random,e,-162,4,-4,16,8887873290482592575
random,e,-182,3,-6,9,3886649264645342085
random,e,-172,5,-10,12,7827591956843604422
random,e,-178,2,-1,10,8795240827512083913
