agentType,gamemode,score,deepestRoom,finalHP,performance,seed
greedy,e,-188,1,-2,7,6014987997709683334
greedy,e,-99,9,0,39,2749566224051522164
greedy,e,-117,7,-7,32,3583205005639507455
greedy,e,-121,9,-10,31,1003857574484486890
greedy,e,-144,9,-1,23,4867122420713546282
greedy,e,-172,4,0,12,1578845883709211170
greedy,e,-133,6,-3,26,4656369785990136952
greedy,e,-144,4,0,23,6837231426948776920
greedy,e,-86,11,-1,43,5207491255963543121
greedy,e,-130,8,-4,28,5311439858317454690
greedy,e,-103,11,-2,37,613628686457411563
greedy,e,-64,15,-9,51,7299798463207860706
greedy,e,-158,4,-3,17,8429782561878219352
greedy,e,-149,4,0,21,831211753862117159
greedy,e,-66,14,-3,51,7082394866546095875
greedy,e,-80,12,-5,46,799099919120203273
greedy,e,-163,3,-10,16,5537779847185584547
greedy,e,-69,13,0,50,4002471489493638765
greedy,e,-185,2,-3,8,1010135441823093809
greedy,e,-179,1,-4,10,501942760477597574
greedy,e,-177,4,-4,11,1925900882730774180
greedy,e,-117,8,-8,32,4665736471148009694
greedy,e,-153,5,-1,19,8798157334918541449
greedy,e,-167,3,-8,14,1187919265351162197
greedy,e,-66,12,0,51,2244619842763063460
greedy,e,-94,12,-4,41,8207164584779721856
greedy,e,-125,10,-3,29,6794677127038310306
greedy,e,-181,2,-4,9,5716739328823812456
greedy,e,-101,11,-2,38,4261043870180716466
greedy,e,-127,7,-2,29,2140386506625398115
greedy,e,-152,4,-5,20,8928596314727072198
greedy,e,-149,6,-13,21,8383282543276597790
greedy,e,-88,14,-6,43,8694130843262435175
greedy,e,-138,7,-1,25,3737052326261712759
greedy,e,-122,7,-1,30,7734412812082037328
greedy,e,-93,13,-3,41,247565779999602309
greedy,e,-58,14,-2,53,8684691785491640034
greedy,e,-107,12,-5,36,312281436944611953
greedy,e,-63,14,-2,52,5058466410019140624
greedy,e,-188,1,-5,7,1952151501241439816
greedy,e,-104,10,-2,37,3817504074974388557
greedy,e,-73,14,-2,48,943928620859809698
greedy,e,-160,4,-1,17,8122554708415739275
greedy,e,-14,17,0,69,8899513562999940680
greedy,e,-107,8,-3,36,8605029536866391951
greedy,e,-38,15,-2,61,7010671078459102226
greedy,e,-132,6,-4,27,1260351690301020992
greedy,e,-118,9,0,32,7796991918338716948
greedy,e,-88,13,0,43,5709383847389524392
greedy,e,-40,15,-1,60,1643893547869432586
greedy,e,-85,12,-3,44,748279918044074068
greedy,e,-5,17,-6,73,7672988332331667403
greedy,e,-50,15,-2,56,403368326860646888
greedy,e,-44,15,-12,58,8860283155640082421
greedy,e,-114,6,-3,33,5115786182237094499
greedy,e,-158,4,-5,17,4715278039575883382
greedy,e,-116,11,-4,33,5907237295898617665
greedy,e,-116,10,0,33,6260213022459050899
greedy,e,-100,8,-1,38,8026785821349276126
greedy,e,-162,5,-2,16,5437191445557751820
greedy,e,-42,15,-1,59,955262164844109379
greedy,e,-41,15,-3,60,6944965458926283106
greedy,e,-109,10,-2,35,4729511005878723887
greedy,e,-90,13,0,42,5747303720811294901
greedy,e,-121,5,-2,31,6441194789570064400
greedy,e,4,18,4,76,4055198424089790542
greedy,e,-168,3,0,14,8445419471120387148
greedy,e,-71,12,-1,49,2054820511273071432
greedy,e,-95,12,-9,40,1004911883751877079
greedy,e,-161,4,-5,16,1661592989065137626
greedy,e,-106,10,0,36,6499750618391105553
greedy,e,-119,8,0,32,8697133042118292417
greedy,e,-119,10,-1,32,6439211877849546145
greedy,e,-133,7,-2,26,1346048420540864612
greedy,e,-154,5,-3,19,5296810384250661335
greedy,e,-127,7,-9,29,5408147909416272205
greedy,e,-176,3,-6,11,7159979850202933501
greedy,e,-134,7,0,26,7982123719231479221
greedy,e,-152,4,-7,20,2990923410922264433
greedy,e,-138,7,-1,25,8795794841260941008
greedy,e,-42,15,-7,59,7785866070417685665
greedy,e,-188,1,-6,7,2311590576247461742
